query,pipeline,metric,value
canon camera on sale,baseline,dcg,0.0
canon eos m50 - kit,baseline,dcg,7.841519549603239
canon t8i battery,baseline,dcg,3.396540296748099
car rooftop door step,baseline,dcg,31.804915366618417
carabiner clip,baseline,dcg,2.493450309756155
carbon monoxide detectors,baseline,dcg,0.0
cars coloring book,baseline,dcg,20.139498319014056
cbd,baseline,dcg,18.180152954118114
cd/dvd printers,baseline,dcg,0.0
celtic knot earrings sterling silver,baseline,dcg,25.340918279412
chacheres creole seasoning,baseline,dcg,11.416508275000202
chain extenders,baseline,dcg,15.648216196725517
champion home standby generator,baseline,dcg,17.931244181513954
chapstick total hydration,baseline,dcg,15.32618237289825
charlie brown costume,baseline,dcg,23.088776807878173
charmaine delta kitchen faucet,baseline,dcg,11.416508275000202
cheap laptops windows 10,baseline,dcg,0.0
cheese dome with base,baseline,dcg,11.416508275000202
cheetah mount,baseline,dcg,14.916508275000202
cherry pie,baseline,dcg,15.616460936533633
chia and flax seed blend,baseline,dcg,4.4165082750002025
chicago bears garden flag,baseline,dcg,31.804915366618417
chicago med,baseline,dcg,0.0
christian books children,baseline,dcg,0.0
christian cozy mysteries,baseline,dcg,4.4165082750002025
christmas craft snowman,baseline,dcg,6.207969650641791
christmas music streaming,baseline,dcg,7.0
christmas stockings for girls,baseline,dcg,0.0
christmas+top and dresses+for+women,baseline,dcg,0.0
chromebook protectors,baseline,dcg,4.4165082750002025
chronograph shooting,baseline,dcg,17.931244181513954
"city adventures, no. 3",baseline,dcg,7.0
clear ball ornaments,baseline,dcg,15.216155866911699
clear floral case,baseline,dcg,4.4165082750002025
clip on earrings,baseline,dcg,2.493450309756155
clock mechanism,baseline,dcg,19.347467969655845
coach wallet for women,baseline,dcg,0.0
coffee mugs,baseline,dcg,2.023453784225215
coil incense,baseline,dcg,18.350501887737558
colorful decorations for party,baseline,dcg,0.0
colorful keys and locks,baseline,dcg,11.416508275000202
comfify collapsible colander,baseline,dcg,4.4165082750002025
computer stickers star wars,baseline,dcg,14.431244181513954
conchos for saddles,baseline,dcg,27.674251612745334
connector 6 pin,baseline,dcg,14.06475676820034
converse slip on,baseline,dcg,0.0
cookie monster party supplies,baseline,dcg,11.416508275000202
cool slippers for men,baseline,dcg,0.0
cool watch under 20,baseline,dcg,0.0
cooling fan,baseline,dcg,2.1072099696478683
cotton mask with filter pocket,baseline,dcg,3.0147359065137516
couples octoberfest costume,baseline,dcg,0.0
cow print bedding,baseline,dcg,29.697705396970548
crib sheet set boys,baseline,dcg,2.023453784225215
cricut create,baseline,dcg,17.624477925641994
crkt black knife,baseline,dcg,19.213140332672094
cubes travel luggage organizers,baseline,dcg,2.7079696506417914
cutting board turquoise,baseline,dcg,5.392789260714372
cutting boards for kitchen dishwasher safe,baseline,dcg,2.7079696506417914
cybling womens shoes,baseline,dcg,3.0147359065137516
dammit doll,baseline,dcg,27.388407091618216
dc action figures 6 inch,baseline,dcg,4.4165082750002025
dc court graffik shoes womens,baseline,dcg,11.416508275000202
dc motor,baseline,dcg,16.92469449127011
death march to the parallel world rhapsody light novel,baseline,dcg,27.44812824905987
decorative oil bottle,baseline,dcg,3.0147359065137516
definitely not paid enough for this,baseline,dcg,0.0
delonghi espresso machine,baseline,dcg,9.80344620833859
demon from the dark kresley cole,baseline,dcg,8.892789260714373
denim accessories,baseline,dcg,8.547172028873286
dermaroller,baseline,dcg,7.431244181513954
dessa,baseline,dcg,23.1326641419119
detachable phone lanyard purple,baseline,dcg,11.416508275000202
dial antibacterial hand soap,baseline,dcg,30.543055859475505
diamond dotz,baseline,dcg,16.14224775023746
diana gabaldon,baseline,dcg,8.701419960397946
dinosaur christmas shirt,baseline,dcg,17.04977368710334
dinosaur clothes children,baseline,dcg,2.7079696506417914
dishes with animals on them,baseline,dcg,0.0
dishwasher machine,baseline,dcg,1.1605584217036249
divoom timebox,baseline,dcg,20.639213832155747
dj monitor speakers,baseline,dcg,0.0
do not pet dog patch,baseline,dcg,19.6326641419119
do4u,baseline,dcg,31.804915366618417
dog dinosaur bone,baseline,dcg,0.0
dog doors for exterior doors,baseline,dcg,10.014735906513751
dog sweaters for small dogs girl,baseline,dcg,0.0
doggie screen,baseline,dcg,4.4165082750002025
dokken,baseline,dcg,24.966281962103544
done with chemo,baseline,dcg,14.916508275000202
double wedding ring quilt pattern,baseline,dcg,7.0
drum pendant light,baseline,dcg,22.266461215456594
dry cell batteries,baseline,dcg,3.5
dry itchy skin relief for dogs,baseline,dcg,5.708254137500101
dual monitor docking station for laptop,baseline,dcg,10.624477925641994
dump truck light,baseline,dcg,4.207969650641791
dungeons and dragon miniatures,baseline,dcg,10.5
duramax sticker,baseline,dcg,20.24300743123138
dust cloths reusable,baseline,dcg,2.7079696506417914
dust collectors for woodworking,baseline,dcg,0.0
dutch oven le creuset,baseline,dcg,10.264293027988977
dvd player,baseline,dcg,17.931244181513954
eco friendly cloth napkins,baseline,dcg,10.931244181513954
educational toys for 6 year olds,baseline,dcg,10.5
egyptian makeup,baseline,dcg,7.0
elephant tea mug,baseline,dcg,27.674251612745334
elevation training mask,baseline,dcg,29.096945715976627
embroidery letter patches,baseline,dcg,14.916508275000202
endure book,baseline,dcg,7.0
engraved rolling pin,baseline,dcg,24.349636157123467
erase pro,baseline,dcg,17.931244181513954
esp32 can-bus,baseline,dcg,0.0
evenflo bottles,baseline,dcg,22.94786378863701
exhaust back pressure tester,baseline,dcg,18.91650759986217
extension cord 10 ft usb port,baseline,dcg,0.0
exterior light white,baseline,dcg,17.931244181513954
extra large wire dog crate,baseline,dcg,0.0
face make for 10,baseline,dcg,0.3010299956639812
falling skies,baseline,dcg,0.0
fancy feast wet cat food,baseline,dcg,3.0147359065137516
fangs 2.0 evil teeth dental veneer,baseline,dcg,20.639213832155747
fedora,baseline,dcg,11.03475329373128
feeder baby,baseline,dcg,14.124477925641994
fenwick casting rod,baseline,dcg,26.76672567587945
fire place,baseline,dcg,0.0
first man dvd,baseline,dcg,11.416508275000202
flannel quilt fabric,baseline,dcg,11.416508275000202
flash items,baseline,dcg,3.0147359065137516
flat iron heat resistant mat,baseline,dcg,6.207969650641791
florida maps,baseline,dcg,20.42469449127011
flower art prints,baseline,dcg,2.2082541375001012
fluo bike. tape,baseline,dcg,7.0
flying disc,baseline,dcg,2.493450309756155
fm transmitter bluetooth for car anker,baseline,dcg,29.781461582393202
fob battery,baseline,dcg,18.746708288661925
fogless mirror for shower,baseline,dcg,8.416223788141892
frozen pop up adventure,baseline,dcg,11.416508275000202
full size kids quilt set,baseline,dcg,16.24329191808969
g-spot clitoral sucking vibrator,baseline,dcg,0.0
g6a-8e,baseline,dcg,16.31726495255743
gacha life,baseline,dcg,0.0
garden drill bit for planting,baseline,dcg,23.888407091618216
gasoline container 5 gallon,baseline,dcg,0.0
gate,baseline,dcg,0.0
gatorade bottle,baseline,dcg,13.648797440481303
gaxaly note 9 case,baseline,dcg,0.0
gefilte fish,baseline,dcg,29.053384155024325
gel grip tape clear,baseline,dcg,4.4165082750002025
gel wet look hair,baseline,dcg,11.416508275000202
gh06 tripod,baseline,dcg,7.0
girls bible,baseline,dcg,2.3333333333333335
girls comforter sets full,baseline,dcg,0.0
glass pipes for tobacco,baseline,dcg,0.0
glossy photo paper 4x6,baseline,dcg,20.639213832155747
go pro,baseline,dcg,0.0
godzilla tapestry,baseline,dcg,29.781461582393202
goggle face shield,baseline,dcg,25.290179460104664
gold shirt women,baseline,dcg,0.0
goodthreads long sleeve slim fit,baseline,dcg,13.141963263379148
google chromecast,baseline,dcg,11.416508275000202
gopro,baseline,dcg,2.1072099696478683
grandparents gifts,baseline,dcg,4.4165082750002025
grapes,baseline,dcg,3.0147359065137516
green yeti water bottle,baseline,dcg,1.0
grey sweater,baseline,dcg,0.0
gwent cards,baseline,dcg,14.172232737546583
hair dye white permanent,baseline,dcg,14.431244181513954
hair toner,baseline,dcg,5.607209969647869
haka,baseline,dcg,11.416508275000202
halloween decorations clearance,baseline,dcg,0.0
halloween gown for women,baseline,dcg,0.0
happy 50th birthday decorations,baseline,dcg,12.508186216269905
happy 60th birthday stickers,baseline,dcg,7.0
hasbro,baseline,dcg,0.0
hd20 bulb optoma,baseline,dcg,29.781461582393202
hdmi displayport adapter,baseline,dcg,9.707969650641791
heavy duty wall hooks,baseline,dcg,3.5
heel slip pads,baseline,dcg,7.0
hell costume,baseline,dcg,0.0
hemp wick,baseline,dcg,29.311465056862264
henry and the kite dragon,baseline,dcg,7.0
hercules costume,baseline,dcg,20.42469449127011
here is new york e.b. white,baseline,dcg,7.0
hiboy,baseline,dcg,14.065305715481506
high beach chairs for adults,baseline,dcg,7.0
high quality drone,baseline,dcg,2.7079696506417914
hippie clothing for men,baseline,dcg,0.0
home gym,baseline,dcg,0.0
hose reel,baseline,dcg,0.0
hot thermos for food,baseline,dcg,4.600660279404023
how does a dinosaur,baseline,dcg,0.0
hp 250 g7,baseline,dcg,20.1326641419119
huawei mate 20 case,baseline,dcg,31.804915366618417
humidifiers diffusers,baseline,dcg,3.5
hydraulics pumps,baseline,dcg,8.892789260714373
hydro flask 32 oz,baseline,dcg,2.7079696506417914
if lost or drunk please return to bestie,baseline,dcg,31.804915366618417
ignition coil,baseline,dcg,12.16266761638096
imaginext,baseline,dcg,0.0
imak compression arthritis gloves,baseline,dcg,17.931244181513954
ina may's guide to breastfeeding,baseline,dcg,7.0
inclusion dividend,baseline,dcg,11.416508275000202
individual hand wipes,baseline,dcg,7.0
indoor driving range,baseline,dcg,16.558207077956496
inner pot 6 qt,baseline,dcg,10.014735906513751
instant pot cooker,baseline,dcg,0.0
ipad 6 gen case,baseline,dcg,0.0
iphone 5s case,baseline,dcg,7.0
iphone 6 case glitter silver,baseline,dcg,17.350237427314703
iphone 7 case incipio,baseline,dcg,24.580041621995257
iphone 8 plus case with stand,baseline,dcg,2.1072099696478683
iphone se otterbox,baseline,dcg,7.431244181513954
iphone xr game controller,baseline,dcg,3.0147359065137516
iphone xs max case for women bling,baseline,dcg,15.701419960397946
iphone xs max screen protector edge to edge full coverage,baseline,dcg,12.222990044013851
irish moss seed,baseline,dcg,7.0
iron decor,baseline,dcg,4.4165082750002025
ishi,baseline,dcg,31.804915366618417
italian cookies from italy,baseline,dcg,4.4165082750002025
iwatch bands 40mm womens,baseline,dcg,0.0
japanese candy,baseline,dcg,11.561907935387037
japanese cherry blossom eau-de-parfum,baseline,dcg,11.416508275000202
jeep srt8,baseline,dcg,10.930676558073394
jim mora shirt,baseline,dcg,17.931244181513954
john daly poster,baseline,dcg,15.848069239847085
jull,baseline,dcg,0.0
june june hannah shirt,baseline,dcg,29.781461582393202
ka-bar,baseline,dcg,8.416223788141892
keyboard piano,baseline,dcg,8.62194587616162
kick buttowski,baseline,dcg,27.674251612745334
kid animal plates,baseline,dcg,0.0
kid rain boots,baseline,dcg,0.0
kid rings,baseline,dcg,9.023453784225214
kids chlorine removal shampoo,baseline,dcg,20.639213832155747
king bed sheets cotton,baseline,dcg,3.0147359065137516
king comforter set,baseline,dcg,2.3333333333333335
kino yoga books,baseline,dcg,7.0
kitchen faucets,baseline,dcg,2.2082541375001012
kitchen organizer,baseline,dcg,0.0
kitchen rugs,baseline,dcg,7.0
kitchen set,baseline,dcg,12.357051577981405
kms hair play paste,baseline,dcg,0.0
kotobukiya snowtrooper,baseline,dcg,17.931244181513954
ks resin,baseline,dcg,0.0
lace front wig ombre blonde,baseline,dcg,10.124212695581377
ladies pull on shorts elastic waist,baseline,dcg,0.0
lantern old fashioned,baseline,dcg,12.201419960397946
laptop 14 inch,baseline,dcg,0.0
laptop power adapters,baseline,dcg,0.0
large bracelet mold,baseline,dcg,25.465997475245235
large dog bed cute,baseline,dcg,0.0
large planters,baseline,dcg,0.0
laundry hamper wooden,baseline,dcg,0.0
led edison bulb,baseline,dcg,0.0
led lights strip,baseline,dcg,3.5
legend of zelda breath of the wild,baseline,dcg,10.54948920024503
lego lego movie,baseline,dcg,0.0
leopard stationary,baseline,dcg,8.892789260714373
leotard,baseline,dcg,0.0
lg cx oled 65,baseline,dcg,10.5
lg v20 case,baseline,dcg,6.439962059225417
light box tracer,baseline,dcg,16.748876476129542
light with switch,baseline,dcg,0.0
lillypad floating mat,baseline,dcg,16.1326641419119
lipoic acid,baseline,dcg,16.588759499706722
lock,baseline,dcg,2.3333333333333335
logitech headset,baseline,dcg,5.993450309756155
logitech wireless keyboard,baseline,dcg,8.386356689582604
long crochet hooks,baseline,dcg,29.096945715976627
long sleeve dresses for girl kids,baseline,dcg,0.0
long sleeve t shirt women,baseline,dcg,0.0
long workout tank tops for women loose fit,baseline,dcg,24.39524126872037
lp-e17 watson,baseline,dcg,11.416508275000202
luigi costume kids,baseline,dcg,4.772715462108224
lunch backpack,baseline,dcg,2.493450309756155
lunch ice pack,baseline,dcg,5.708254137500101
ma,baseline,dcg,2.7079696506417914
macbook charger repair,baseline,dcg,0.0
madame x,baseline,dcg,29.781461582393202
magic bullet replacement rubber,baseline,dcg,20.42469449127011
mailbox with locks with keys,baseline,dcg,0.0
make america great again hat,baseline,dcg,4.130663753873083
makeup organizer drawers,baseline,dcg,4.731423434867006
male sex toys,baseline,dcg,0.0
mark the shark book,baseline,dcg,0.0
marker tip pens,baseline,dcg,2.7079696506417914
marshmello costume,baseline,dcg,0.0
mary meyer baby mat,baseline,dcg,27.674251612745334
massage gaming chair,baseline,dcg,17.12411406362924
mastectomy pillow,baseline,dcg,11.832732063142096
math flash cards 4th grade,baseline,dcg,11.68428338390785
mcgraw hill medical spanish,baseline,dcg,11.416508275000202
meat saw electric,baseline,dcg,10.5
medical wipes,baseline,dcg,2.3333333333333335
melissa and doug puzzles,baseline,dcg,9.478732993720168
melting pot,baseline,dcg,8.701419960397946
men plaid pants slim fit,baseline,dcg,22.472831652347388
men shoes athletic basketball,baseline,dcg,0.0
men's elastic waist pants,baseline,dcg,2.493450309756155
men's skechers,baseline,dcg,0.0
mens black wallet trifold,baseline,dcg,10.139213832155745
mens hoodies buffalo,baseline,dcg,0.0
mens nikes shoes,baseline,dcg,0.0
mens pocket square,baseline,dcg,0.0
metal puzzles brain teasers,baseline,dcg,9.538454151161822
mexican dish,baseline,dcg,0.0
michael scott sequin pillow covers,baseline,dcg,7.0
mickey baby costume,baseline,dcg,21.454677939303714
microphone headset podcast,baseline,dcg,2.7920296742201796
microsoft surface,baseline,dcg,7.731707921725317
milwaukee drills,baseline,dcg,0.0
minnie iphone x case,baseline,dcg,19.1326641419119
mirrolure suspending twitchbait,baseline,dcg,7.0
mirror tv,baseline,dcg,14.916508275000202
misswig synthetic curly wig,baseline,dcg,7.0
mobile magnet antenna mount bnc,baseline,dcg,7.0
moisture socks,baseline,dcg,0.0
molding,baseline,dcg,7.0
mosquito patches,baseline,dcg,11.416508275000202
mother's ring,baseline,dcg,5.5234537842252145
motorcycle helmet with sun visor,baseline,dcg,4.440543302981202
mouse pad red lightning,baseline,dcg,16.437717932248074
multi surface cleaner,baseline,dcg,2.493450309756155
mummy decor,baseline,dcg,13.100758911356165
mushroom table,baseline,dcg,10.810885896049497
mustard tops for women,baseline,dcg,0.0
my baby registry,baseline,dcg,0.0
n95 not kn95 masks,baseline,dcg,0.0
nail grinder,baseline,dcg,0.0
nail polish & decoration products,baseline,dcg,0.0
nail tips,baseline,dcg,14.916508275000202
name necklace personalized rose gold,baseline,dcg,11.210332108806965
native deodorant for men,baseline,dcg,7.124477925641994
natural millet,baseline,dcg,25.180152954118114
natural odor eliminator,baseline,dcg,0.0
navistar international,baseline,dcg,31.804915366618417
neck cream,baseline,dcg,14.124477925641994
nerf all guns,baseline,dcg,0.0
neutrogena spray sunscreen 100,baseline,dcg,14.916508275000202
night light,baseline,dcg,0.0
nightmare before christmas sally dress,baseline,dcg,18.72513820504602
nike pants men,baseline,dcg,0.0
nike pullover hoodie men,baseline,dcg,13.523718244648071
nike socks unisex,baseline,dcg,10.014735906513751
ninja maker594,baseline,dcg,7.0
note 10+ camera protector,baseline,dcg,27.364372063637216
note10,baseline,dcg,0.0
number memory game,baseline,dcg,7.0
nutcracker,baseline,dcg,15.186987131220269
office pens,baseline,dcg,0.0
oil free face moisturizer,baseline,dcg,6.624762412500304
one protein bars,baseline,dcg,13.850237427314703
onesies for women,baseline,dcg,0.0
oodies,baseline,dcg,7.0
oranges,baseline,dcg,8.722990044013851
origins grapefruit body wash,baseline,dcg,0.0
outdoor baby swing,baseline,dcg,11.416508275000202
outdoor furniture bistro sets,baseline,dcg,4.4165082750002025
outdoor rugs for patios,baseline,dcg,0.0
outdoor wall covering,baseline,dcg,0.0
outlet cover,baseline,dcg,6.439962059225417
oval tablecloth,baseline,dcg,9.208254137500102
over the door mirror,baseline,dcg,20.016884067545917
over the shoulder wallet,baseline,dcg,0.0
overland gear,baseline,dcg,11.416508275000202
owl banner,baseline,dcg,25.46599747524523
oxford studies in digital politics,baseline,dcg,31.804915366618417
pack of scarfs for women,baseline,dcg,0.0
pagan stickers,baseline,dcg,7.0
pajamas for girls,baseline,dcg,0.0
pajamas women,baseline,dcg,0.0
panasonic th-42pz700u,baseline,dcg,23.132664141911903
panthers phone case,baseline,dcg,14.916508275000202
paperwhite kindle,baseline,dcg,0.0
parasite books,baseline,dcg,7.0
party dress 4t,baseline,dcg,4.231707921725317
patrin,baseline,dcg,29.781461582393202
pebeo vitrail,baseline,dcg,25.465997475245235
pei 3d printer sheet,baseline,dcg,31.804915366618417
pentair pentek big blue,baseline,dcg,20.674251612745334
people magazine home time,baseline,dcg,0.0
percussion massager,baseline,dcg,2.3333333333333335
perfume saint laurent,baseline,dcg,3.5
petite dressy spandex pants,baseline,dcg,4.4165082750002025
pflueger president spinning reel,baseline,dcg,18.353134769338084
phillips norelco replacement blades,baseline,dcg,11.416508275000202
phone case for an lg,baseline,dcg,3.0147359065137516
pink lunch box,baseline,dcg,10.22515823148147
pink toothpicks for appetizers,baseline,dcg,12.722705557155543
pioneer woman cookware,baseline,dcg,25.781462352030964
pj robe kids,baseline,dcg,0.0
plague doctor mask,baseline,dcg,23.748876476129542
plasti dip,baseline,dcg,17.83020001366172
play kitchen for toddlers accessories,baseline,dcg,0.0
plug in room fresheners for home,baseline,dcg,0.0
pocket folders with brads,baseline,dcg,0.0
pokemon super mystery dungeon 3ds,baseline,dcg,11.416508275000202
porcelain figurines collectibles,baseline,dcg,0.0
portable cologne sprayer,baseline,dcg,15.100758911356165
portable lint remover,baseline,dcg,21.304915366618417
powder coat paint,baseline,dcg,14.431244181513954
power steering low pressure return line,baseline,dcg,7.0
princess accesories,baseline,dcg,0.0
princess leia costume women,baseline,dcg,7.0
protector lg q7,baseline,dcg,15.141382019623364
ps4 console,baseline,dcg,0.0
ps4 joystick controller,baseline,dcg,0.0
pumping backpack,baseline,dcg,14.431244181513954
pure dhea 25mg,baseline,dcg,11.416508275000202
pure wave massager,baseline,dcg,7.9165082750002025
purity products,baseline,dcg,31.804915366618417
purple silicone spatula,baseline,dcg,20.740588299172277
push up handles for floor rotating,baseline,dcg,20.639213832155747
queen size blanket cover,baseline,dcg,2.493450309756155
quick read digital thermometer,baseline,dcg,25.340918279412
rabbit drinking bottle,baseline,dcg,11.416508275000202
rae dunn christmas mug,baseline,dcg,13.764293027988977
rainbow loom bands,baseline,dcg,7.0
rc transmitter and receiver,baseline,dcg,17.52343375778976
read it yourself,baseline,dcg,11.416508275000202
real rose petals,baseline,dcg,22.065021228623195
rebel eos t3 macro lens,baseline,dcg,7.0
red casual dress,baseline,dcg,4.916223788141893
red cedar log yearbook,baseline,dcg,31.804915366618417
red hair color permanent,baseline,dcg,0.0
red led 12v,baseline,dcg,2.2082541375001012
red worms live,baseline,dcg,25.46599747524523
removable stove top cover,baseline,dcg,0.0
renaiss oil painting,baseline,dcg,31.804915366618417
renewed,baseline,dcg,0.0
respirator mask dust,baseline,dcg,0.0
retirement party decorations for women,baseline,dcg,20.44812824905987
retractable screen doors,baseline,dcg,9.707969650641791
reusable produce bags,baseline,dcg,2.2082541375001012
reusable water bottles bpa free 16 oz,baseline,dcg,10.5
ribeye steaks,baseline,dcg,14.53475329373128
rice seasoning,baseline,dcg,24.05875602523766
ride on tractor,baseline,dcg,8.31517962028966
rilakkuma lanyard,baseline,dcg,12.916508275000202
ring light for iphone,baseline,dcg,9.147931709867208
ripped capris for women plus size,baseline,dcg,7.0
robert plant,baseline,dcg,10.5
